0	1
0.202049	1.03481
0.404098	1.05051
0.606148	1.21229
0.808197	1.21535
1.01025	1.22132
1.2123	1.27821
1.41434	1.36103
1.61639	1.48721
1.81844	1.45867
2.02049	1.55307
2.22254	1.58343
2.42459	1.81193
2.62664	1.84088
2.82869	1.77269
3.03074	1.59053
3.23279	1.83142
3.43484	1.82904
3.63689	1.85468
3.83893	1.67543
4.04098	1.43712
4.24303	1.36226
4.44508	1.37962
4.64713	1.55342
4.84918	1.59213
5.05123	1.70751
5.25328	1.46413
5.45533	1.4988
5.65738	1.51907
5.85943	1.44143
6.06148	1.42742
6.26352	1.55767
6.46557	1.67568
6.66762	1.95006
6.86967	2.03488
7.07172	1.96972
7.27377	1.91219
7.47582	2.08953
7.67787	1.89915
7.87992	1.77102
8.08197	1.91163


